1997-04-11,GLT,14.08,14.19,13.75,14.19,16500,1997
1997-03-17,GTY,20.12,20.5,20.12,20.62,24700,1997
1997-04-23,GGG,24.37,24.37,24.12,24.5,363500,1997
1997-03-18,GFF,14.38,14.25,14.12,14.38,42400,1997
1997-12-08,GBX,17.25,17.31,17.25,17.31,1100,1997
1997-11-17,GSK,42.63,42.44,42.38,42.75,261600,1997
1997-01-10,GWW,78.25,78.85,76.93,78.85,151000,1997
1997-08-01,GIS,64.66,65.66,64.66,65.77,1310400,1997
1997-05-21,GET,20.09,20.21,20.09,20.33,97200,1997
1997-03-17,GTI,43.12,42.5,42.13,43.25,38600,1997
1997-03-14,GRT,20.25,20.25,20.12,20.37,61400,1997
1997-10-08,GET,30.35,29.82,29.76,30.47,272400,1997
1997-06-24,GTC,136.68,139.55,136.68,139.64,0,1997
1997-07-29,GSK,43,43.25,42.88,43.5,534700,1997
1997-09-12,GTY,17.44,17.31,17.31,17.44,7300,1997
1997-10-20,GNI,52.67,52.86,52.67,52.86,1400,1997
1997-03-18,GRT,20,20,19.87,20.12,63400,1997
1997-12-22,GAB,8.84,8.99,8.84,8.99,116900,1997
1997-05-30,GVA,19.75,20,19.75,20,73500,1997
1997-07-22,GEF,29.18,29.18,29.18,29.9,129200,1997
1997-05-20,GLT,14.68,14.79,14.63,14.85,11200,1997
1997-06-23,GRB,18.57,17.97,17.97,18.69,53200,1997
1997-09-16,GEF,29.66,29.48,29.48,29.66,40000,1997
1997-06-03,GCO,13.75,14.75,13.75,15.13,280600,1997
1997-11-26,GSK,46.19,46.06,45.75,46.31,741700,1997
1997-02-28,GCO,9.5,9.5,9.5,9.63,47400,1997
1997-03-26,GDP,0.63,0.56,0.56,0.63,6000,1997
1997-06-10,GLT,15.4,15.34,15.23,15.5,13200,1997
1997-07-23,GRA,15.63,15.91,15.6,15.96,320800,1997
1997-08-12,GAS,33.17,32.77,32.77,33.63,59000,1997
1997-07-23,GAB,7.75,7.71,7.71,7.8,302700,1997
1997-02-21,GXP,28.87,29.12,28.87,29.12,65600,1997
1997-03-19,GGT,4.67,4.67,4.59,4.75,70100,1997
1997-08-12,GY,13.6,13.91,13.6,13.91,53100,1997
1997-02-26,GIM,5.65,5.7,5.65,5.75,289400,1997
1997-01-16,GSK,31.37,31.12,30.87,31.5,551100,1997
1997-12-15,GVA,23.44,23.19,23.19,23.62,24900,1997
1997-12-17,GAP,27.33,27.94,27.33,28.06,52000,1997
1997-08-26,GAP,24.47,24.05,23.87,24.59,35600,1997
1997-10-15,GLW,45.19,46.19,45.13,46.19,2416800,1997
1997-09-09,GLT,18.26,19.04,18.26,19.04,63600,1997
1997-10-21,GAM,27.12,27.38,27.12,27.38,18300,1997
1997-08-29,GLW,53.38,52.88,52,53.38,4926600,1997
1997-08-25,GAS,32.6,32.55,32.55,32.77,40100,1997
1997-10-10,GSK,43.88,44.25,43.88,44.25,598600,1997
1997-06-12,GVA,20.12,20.25,20,20.37,35200,1997
1997-08-29,GEO,26.38,26.5,26.38,26.81,295600,1997
1997-11-21,GR,40.54,40.54,40.49,40.72,276600,1997
1997-12-26,GG,4,4,4,4,0,1997
1997-01-28,GES,13.75,14,13.75,14.12,96800,1997
1997-07-16,GAB,7.75,7.8,7.75,7.85,347900,1997
1997-12-03,GLW,42.88,42.25,41.81,42.88,4665000,1997
1997-11-18,GFF,16.37,16.12,16.12,16.37,10900,1997
1997-02-19,GLW,37.75,38.13,37.63,38.25,2050200,1997
1997-12-30,GLW,36.06,37.13,35.88,37.13,2821500,1997
1997-02-28,GWW,76.46,75.98,75.98,76.82,1572200,1997
1997-12-15,GAS,35.71,36.06,35.66,36.11,79200,1997
1997-08-29,GWW,86.38,85.95,85.53,87.34,181800,1997
1997-08-28,GR,38.97,39.03,38.17,39.14,268900,1997
1997-02-11,GHI,9.36,9.27,9.27,9.36,66100,1997
1997-06-12,GDF,15,15.13,14.88,15.13,112700,1997
1997-11-10,GTC,149.36,146.52,146.45,151,0,1997
1997-09-30,GVA,23.5,23.12,23.06,24.06,86800,1997
1997-10-21,GLW,48.75,48.94,48.31,49,2416500,1997
1997-09-30,GRB,22.79,23.09,22.61,23.27,77300,1997
1997-01-02,GIM,5.39,5.48,5.39,5.48,138300,1997
1997-06-25,GRT,20.62,20.75,20.56,20.87,107300,1997
1997-04-30,GXP,27.87,28.25,27.75,28.25,55800,1997
1997-12-15,GBX,17.31,17.12,17.12,17.31,7700,1997
1997-04-24,GGT,4.42,4.42,4.42,4.5,10000,1997
1997-07-29,GTI,43.94,44,43.69,44,93400,1997
1997-04-07,GGC,22.65,22.53,22.29,22.65,1800,1997
1997-03-05,GIS,59.79,60.14,59.68,60.25,680800,1997
1997-05-20,GCO,11.75,11.75,11.63,11.88,48200,1997
